BLANKS,ODF
Etourneau sansonnet,Étourneau sansonnet
Héron garde-bœufs,Héron garde-boeufs
Epervier d'Europe,Épervier d'Europe
Pigeon biset (domestique y compris),Pigeon biset domestique
Aigle de Bonelli,
Aigle pomarin,
Balbuzard pêcheur,
Grue cendrée,
Gypaète barbu,
Pie-grièche à poitrine rose,
Pygargue à queue blanche,
Vautour percnoptère,
Garrot à œil d'or,Garrot à oeil d'or
Viréo à œil rouge,Viréo à oeil rouge
Elanion blanc,Élanion blanc
Etourneau unicolore,Étourneau unicolore
Océanite ""de type"" Castro,"Océanite "de type" Castro"
